# Semantic review of non-ancestor local branch tips
# Comparison baseline: origin/main at 79aa137a49ed61355bfca9678533e6098ec33424.
# `unique_patch_count` and `equivalent_patch_count` are from `git cherry -v origin/main <tip>`.
# Patch equivalence is triage evidence, not approval to discard requirements or generated artifacts.
source_branch	object_id	tree_relation	unique_patch_count	equivalent_patch_count	range_commit_count	preliminary_disposition	subject	archive_ref
archive/geography-territory-coverage-pipeline-20260831	28d1432ab22ada75cb008b6339aa34ad55b772da	tree-differs-from-origin-main	5	0	7	unique-patches-require-semantic-review	archive: preserve pre-main-cleanup worktree state	refs/archive/repository-convergence-20260831/local-only-branch-tips/archive/geography-territory-coverage-pipeline-20260831
audit/mvp-readiness-2026-08-22	d9358f84509ed9d19e0a6960219274043774ee13	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	docs(audit): property listify MVP readiness audit 2026-08-22 @ 8a3442a0	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/mvp-readiness-2026-08-22
audit/search-discovery-current-state	7acc6b9a6ee73db3aea5eee5673bd8f8664ecb93	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	docs(search): add search discovery current-state audit	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/search-discovery-current-state
backup/doe-s0-before-rebase-3dc432a5	3dc432a5bb951a280a1e58774eeb80f8663cec4e	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	feat(developer): align publication review lifecycle	refs/archive/repository-convergence-20260831/local-only-branch-tips/backup/doe-s0-before-rebase-3dc432a5
backup/saved-search-ci-local-e3977f73	e3977f7397f5fb8b361330af138085c25639573e	tree-differs-from-origin-main	1	0	1	unique-patches-require-semantic-review	test(saved-search): align CI fixtures with canonical config	refs/archive/repository-convergence-20260831/local-only-branch-tips/backup/saved-search-ci-local-e3977f73
boundary/product-surface-registry	14234c81c12fdea838dcc4f251ef4d1c3876ffaa	tree-differs-from-origin-main	1	2	3	unique-patches-require-semantic-review	feat(boundary): executable product surface registry + launch boundary enforcement	refs/archive/repository-convergence-20260831/local-only-branch-tips/boundary/product-surface-registry
codex/backup-commercial-search-filters-before-rebase	119186de01207296f04e109781a6283f80b15106	tree-differs-from-origin-main	4	0	6	unique-patches-require-semantic-review	feat(commercial): add business-value search filters	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/backup-commercial-search-filters-before-rebase
design/search-detail-wireframes	483c203591f41e9c9e092b9a148cd56efd310fef	tree-differs-from-origin-main	2	0	2	unique-patches-require-semantic-review	feat(search): clarify public results hierarchy	refs/archive/repository-convergence-20260831/local-only-branch-tips/design/search-detail-wireframes
feat/commercial-monetization-s0-canonical-authority	7753ed0a0dddc47b47133b2305e6ae48d156db86	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	feat(commercial): establish canonical monetization authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s0-canonical-authority
feat/commercial-monetization-s1-dynamic-commercial-surfaces	2ef07310e5bf14247908dfa322ca981f711d1195	tree-differs-from-origin-main	0	2	2	patch-equivalent-to-origin-main-history	feat(commercial): connect public monetization surfaces to canonical catalog	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s1-dynamic-commercial-surfaces
feat/commercial-monetization-s2-agent-authority	b7a1cf608d0ccaf61d6d39033569a28c1e3fd46a	tree-differs-from-origin-main	0	3	3	patch-equivalent-to-origin-main-history	feat(commercial): converge agent monetization on canonical authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s2-agent-authority
feat/commercial-monetization-s3-1-developer-reference-data	0ebd6257e838b93538e03559cf5ee44a278d80f5	tree-differs-from-origin-main	0	5	5	patch-equivalent-to-origin-main-history	feat(commercial): activate paid developer launch access	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s3-1-developer-reference-data
feat/commercial-monetization-s3-developer-authority	680a758fda4103078de57a11baa5a34b57f89352	tree-differs-from-origin-main	0	4	4	patch-equivalent-to-origin-main-history	feat(commercial): converge developer monetization on canonical authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s3-developer-authority
feat/commercial-monetization-s4-launch-access-generalization	c0abf783fc12f96e9734709bedb29cacfdc8d0ff	tree-differs-from-origin-main	0	1	1	patch-equivalent-to-origin-main-history	feat(commercial): generalize paid launch access to agents and agencies	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/commercial-monetization-s4-launch-access-generalization
feat/dev-s6-developer-digital-presence	70de3ed5f40c6c717be324a38843382c23a0e629	tree-differs-from-origin-main	3	0	3	unique-patches-require-semantic-review	feat(developer): DEV-S6 gap closure — logo upload, new-lead notification, directory paging	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s6-developer-digital-presence
feat/dev-s6-developer-digital-presence-wip	70de3ed5f40c6c717be324a38843382c23a0e629	tree-differs-from-origin-main	3	0	3	unique-patches-require-semantic-review	feat(developer): DEV-S6 gap closure — logo upload, new-lead notification, directory paging	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s6-developer-digital-presence-wip
feat/dev-s7-developer-growth-engine	a5f6b431438de5d6b1da5f8af6eef720407905d5	tree-differs-from-origin-main	4	0	4	unique-patches-require-semantic-review	feat(developer): DEV-S7 Developer Growth Engine — views, conversion, truthful analytics	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s7-developer-growth-engine
feat/dev-s8-developer-team-operations	50ce87ddfa72b5e975c0c79c259898e401689801	tree-differs-from-origin-main	9	0	9	unique-patches-require-semantic-review	feat(developer): A→Z acceptance journey + invited-member acceptance surface	refs/archive/repository-convergence-20260831/local-only-branch-tips/feat/dev-s8-developer-team-operations
