candidate_location_id,preferred_name,normalized_name,candidate_type,promotion_class,factual_identity_status,identity_evidence,source_support,licence_classes,licence_state,odbl_evidence_present,boundary_conflict,conflicts,duplicate_evidence,osm_only,promotion_reasons,human_review_required,review_set_reason,unresolved_attributes,required_probe_names,representative_latitude,representative_longitude,review_category
pl-gp-v01-014177e3d60af18c4457,Hermanstad,hermanstad,suburb,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":0,""match_methods"":{""exact_contextual"":2},""match_statuses"":{""conflict"":1,""high_confidence"":2},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1,""R"":1},""geonames_feature_codes"":{""PPL"":1,""RYD"":1},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[""suburb""],""osm_residential_values"":[],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPL"",""feature_description"":""populated place""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""geonames"",""source_native_id"":""11524777"",""source_record_id"":""sr:geonames:11524777""},{""classification"":{""country_code"":""ZA"",""feature_class"":""R"",""feature_code"":""RYD"",""feature_description"":""railroad yard""},""proposed_type_hints"":[""other""],""source"":""geonames"",""source_native_id"":""8134099"",""source_record_id"":""sr:geonames:8134099""},{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""node"",""landuse"":null,""place"":""suburb"",""residential"":null},""proposed_type_hints"":[""osm_place"",""suburb""],""source"":""osm"",""source_native_id"":""node/262706985"",""source_record_id"":""sr:osm:node/262706985""}],""source_record_ids"":[""sr:geonames:11524777"",""sr:geonames:8134099"",""sr:osm:node/262706985""],""sources"":[""geonames"",""osm""]}","[""CC_BY_4"",""ODBL_1""]",MIXED_INCLUDES_ODBL,True,True,"[""inside_admin_code_conflict""]","{""close_same_context"":false,""close_same_context_pairs"":[],""duplicate_name_action"":""not_applicable"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-014177e3d60af18c4457""],""normalized_name_group_size"":1}",False,"[""point is inside Gauteng but source administrative coding conflicts and independent identity support is weak""]",True,point is inside Gauteng but source administrative coding conflicts and independent identity support is weak,"[""administrative_context"",""candidate_type""]",[],-25.71921,28.1616667,boundary_admin_identity
pl-gp-v01-02baee7bfa3a586c6803,Klippan,klippan,town,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":2,""match_methods"":{""exact_contextual"":1},""match_statuses"":{""ambiguous"":1,""conflict"":1,""proposed"":2},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1},""geonames_feature_codes"":{""PPL"":1},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[],""osm_residential_values"":[],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPL"",""feature_description"":""populated place""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""geonames"",""source_native_id"":""989223"",""source_record_id"":""sr:geonames:989223""},{""classification"":{""designation"":""PPL"",""feature_class"":""P"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1245823"",""uni"":""-1818785""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""nga_gns"",""source_native_id"":""-1245823:-1818785:71908"",""source_record_id"":""sr:nga_gns:-1245823:-1818785:71908""}],""source_record_ids"":[""sr:geonames:989223"",""sr:nga_gns:-1245823:-1818785:71908""],""sources"":[""geonames"",""nga_gns""]}","[""CC_BY_4"",""NO_RESTRICTION_GNS""]",PERMISSIVE_OR_ATTRIBUTION_ONLY,False,True,"[""inside_admin_code_conflict""]","{""close_same_context"":false,""close_same_context_pairs"":[],""duplicate_name_action"":""preserve_separate"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-02baee7bfa3a586c6803"",""pl-gp-v01-57222c7527d8012ffa40"",""pl-gp-v01-8ed89da2e1533fc93a7f""],""normalized_name_group_size"":3}",False,"[""point is inside Gauteng but source administrative coding conflicts and independent identity support is weak""]",True,point is inside Gauteng but source administrative coding conflicts and independent identity support is weak,"[""administrative_context""]",[],-25.440922,28.0281405,boundary_admin_identity
pl-gp-v01-09e504bc0badd1ae411a,Eagle Canyon Golf Estate,eagle canyon golf estate,neighbourhood,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":0,""match_methods"":{""exact_contextual"":1},""match_statuses"":{""ambiguous"":2},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1},""geonames_feature_codes"":{""PPLX"":1},""osm_alias_tags"":{""alt_name"":1},""osm_identifier_tags"":{},""osm_landuse_values"":[""residential""],""osm_place_values"":[""neighbourhood""],""osm_residential_values"":[""gated""],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPLX"",""feature_description"":""section of populated place""},""proposed_type_hints"":[""locality"",""neighbourhood""],""source"":""geonames"",""source_native_id"":""8063424"",""source_record_id"":""sr:geonames:8063424""},{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""node"",""landuse"":""residential"",""place"":""neighbourhood"",""residential"":""gated""},""proposed_type_hints"":[""neighbourhood"",""osm_place""],""source"":""osm"",""source_native_id"":""node/60276836"",""source_record_id"":""sr:osm:node/60276836""}],""source_record_ids"":[""sr:geonames:8063424"",""sr:osm:node/60276836""],""sources"":[""geonames"",""osm""]}","[""CC_BY_4"",""ODBL_1""]",MIXED_INCLUDES_ODBL,True,False,[],"{""close_same_context"":true,""close_same_context_pairs"":[{""candidate_location_id_a"":""pl-gp-v01-09e504bc0badd1ae411a"",""candidate_location_id_b"":""pl-gp-v01-c1442fdb2554b72b77ef"",""distance_km"":0.364}],""duplicate_name_action"":""identity_collision_review"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-09e504bc0badd1ae411a"",""pl-gp-v01-c1442fdb2554b72b77ef""],""normalized_name_group_size"":2}",False,"[""same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved""]",True,same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved,"[""candidate_type"",""independent_identity_vs_duplicate_source_object""]",[],-26.0866839,27.918663549999998,ambiguous_identity_or_duplicate
pl-gp-v01-195a06a3086c61ce3c09,Claudius,claudius,suburb,founder_review_required,requires_founder_review,"{""class"":""OSM_place_single_source"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":false,""fuzzy_proposals_withheld"":0,""match_methods"":{},""match_statuses"":{""ambiguous"":1},""not_based_on_name_equality_alone"":true,""robust"":false,""very_strong"":false}","{""geonames_feature_classes"":{},""geonames_feature_codes"":{},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[""suburb""],""osm_residential_values"":[],""source_count"":1,""source_native_types"":[{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""node"",""landuse"":null,""place"":""suburb"",""residential"":null},""proposed_type_hints"":[""osm_place"",""suburb""],""source"":""osm"",""source_native_id"":""node/36164552"",""source_record_id"":""sr:osm:node/36164552""}],""source_record_ids"":[""sr:osm:node/36164552""],""sources"":[""osm""]}","[""ODBL_1""]",ODBL_ONLY,True,False,[],"{""close_same_context"":true,""close_same_context_pairs"":[{""candidate_location_id_a"":""pl-gp-v01-195a06a3086c61ce3c09"",""candidate_location_id_b"":""pl-gp-v01-3f9f92576089bbe6543a"",""distance_km"":0.11}],""duplicate_name_action"":""identity_collision_review"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-195a06a3086c61ce3c09"",""pl-gp-v01-3f9f92576089bbe6543a""],""normalized_name_group_size"":2}",True,"[""same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved""]",True,same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved,"[""independent_identity_vs_duplicate_source_object""]",[],-25.7944444,28.1122222,ambiguous_identity_or_duplicate
pl-gp-v01-1f8f40faa0497e5240fc,Kruisfontein,kruisfontein,town,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":0,""match_methods"":{""exact_contextual"":7},""match_statuses"":{""conflict"":2,""high_confidence"":4},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1,""S"":2},""geonames_feature_codes"":{""FRM"":2,""PPL"":1},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[],""osm_residential_values"":[],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPL"",""feature_description"":""populated place""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""geonames"",""source_native_id"":""986721"",""source_record_id"":""sr:geonames:986721""},{""classification"":{""country_code"":""ZA"",""feature_class"":""S"",""feature_code"":""FRM"",""feature_description"":""farm""},""proposed_type_hints"":[""other""],""source"":""geonames"",""source_native_id"":""986737"",""source_record_id"":""sr:geonames:986737""},{""classification"":{""country_code"":""ZA"",""feature_class"":""S"",""feature_code"":""FRM"",""feature_description"":""farm""},""proposed_type_hints"":[""other""],""source"":""geonames"",""source_native_id"":""986738"",""source_record_id"":""sr:geonames:986738""},{""classification"":{""designation"":""FRM"",""feature_class"":""S"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1248827"",""uni"":""-1822379""},""proposed_type_hints"":[""other""],""source"":""nga_gns"",""source_native_id"":""-1248827:-1822379:67008"",""source_record_id"":""sr:nga_gns:-1248827:-1822379:67008""},{""classification"":{""designation"":""FRM"",""feature_class"":""S"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1248828"",""uni"":""-1822380""},""proposed_type_hints"":[""other""],""source"":""nga_gns"",""source_native_id"":""-1248828:-1822380:65251"",""source_record_id"":""sr:nga_gns:-1248828:-1822380:65251""},{""classification"":{""designation"":""PPL"",""feature_class"":""P"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1248845"",""uni"":""-1822398""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""nga_gns"",""source_native_id"":""-1248845:-1822398:65074"",""source_record_id"":""sr:nga_gns:-1248845:-1822398:65074""}],""source_record_ids"":[""sr:geonames:986721"",""sr:geonames:986737"",""sr:geonames:986738"",""sr:nga_gns:-1248827:-1822379:67008"",""sr:nga_gns:-1248828:-1822380:65251"",""sr:nga_gns:-1248845:-1822398:65074""],""sources"":[""geonames"",""nga_gns""]}","[""CC_BY_4"",""NO_RESTRICTION_GNS""]",PERMISSIVE_OR_ATTRIBUTION_ONLY,False,True,"[""inside_admin_code_conflict""]","{""close_same_context"":false,""close_same_context_pairs"":[],""duplicate_name_action"":""not_applicable"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-1f8f40faa0497e5240fc""],""normalized_name_group_size"":1}",False,"[""point is inside Gauteng but source administrative coding conflicts and independent identity support is weak""]",True,point is inside Gauteng but source administrative coding conflicts and independent identity support is weak,"[""administrative_context""]",[],-25.55,28.0833315,boundary_admin_identity
pl-gp-v01-22bf93f3592f8a9c9c4b,Meadowlands East,meadowlands east,suburb,founder_review_required,requires_founder_review,"{""class"":""OSM_place_single_source"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":false,""fuzzy_proposals_withheld"":0,""match_methods"":{},""match_statuses"":{""ambiguous"":1},""not_based_on_name_equality_alone"":true,""robust"":false,""very_strong"":false}","{""geonames_feature_classes"":{},""geonames_feature_codes"":{},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[""suburb""],""osm_residential_values"":[],""source_count"":1,""source_native_types"":[{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""node"",""landuse"":null,""place"":""suburb"",""residential"":null},""proposed_type_hints"":[""osm_place"",""suburb""],""source"":""osm"",""source_native_id"":""node/5830458853"",""source_record_id"":""sr:osm:node/5830458853""}],""source_record_ids"":[""sr:osm:node/5830458853""],""sources"":[""osm""]}","[""ODBL_1""]",ODBL_ONLY,True,False,[],"{""close_same_context"":true,""close_same_context_pairs"":[{""candidate_location_id_a"":""pl-gp-v01-22bf93f3592f8a9c9c4b"",""candidate_location_id_b"":""pl-gp-v01-bb3c51d1199b51b8d155"",""distance_km"":0.427}],""duplicate_name_action"":""identity_collision_review"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-22bf93f3592f8a9c9c4b"",""pl-gp-v01-bb3c51d1199b51b8d155""],""normalized_name_group_size"":2}",True,"[""same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved""]",True,same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved,"[""independent_identity_vs_duplicate_source_object""]",[],-26.22078,27.8994467,ambiguous_identity_or_duplicate
pl-gp-v01-28a23a6ce0b62338bcdb,Leachville,leachville,suburb,founder_review_required,requires_founder_review,"{""class"":""OSM_place_single_source"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":false,""fuzzy_proposals_withheld"":0,""match_methods"":{},""match_statuses"":{""ambiguous"":1},""not_based_on_name_equality_alone"":true,""robust"":false,""very_strong"":false}","{""geonames_feature_classes"":{},""geonames_feature_codes"":{},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[""suburb""],""osm_residential_values"":[],""source_count"":1,""source_native_types"":[{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""node"",""landuse"":null,""place"":""suburb"",""residential"":null},""proposed_type_hints"":[""osm_place"",""suburb""],""source"":""osm"",""source_native_id"":""node/262708490"",""source_record_id"":""sr:osm:node/262708490""}],""source_record_ids"":[""sr:osm:node/262708490""],""sources"":[""osm""]}","[""ODBL_1""]",ODBL_ONLY,True,False,[],"{""close_same_context"":true,""close_same_context_pairs"":[{""candidate_location_id_a"":""pl-gp-v01-28a23a6ce0b62338bcdb"",""candidate_location_id_b"":""pl-gp-v01-df959cb5446d21c9b97c"",""distance_km"":0.049}],""duplicate_name_action"":""identity_collision_review"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-28a23a6ce0b62338bcdb"",""pl-gp-v01-df959cb5446d21c9b97c""],""normalized_name_group_size"":2}",True,"[""same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved""]",True,same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved,"[""independent_identity_vs_duplicate_source_object""]",[],-26.2316667,28.3344444,ambiguous_identity_or_duplicate
pl-gp-v01-291cc8f92a238f80f336,Boekenhoutfontein,boekenhoutfontein,town,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":1,""match_methods"":{""exact_contextual"":1},""match_statuses"":{""ambiguous"":1,""conflict"":1,""proposed"":1},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1},""geonames_feature_codes"":{""PPL"":1},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[],""osm_residential_values"":[],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPL"",""feature_description"":""populated place""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""geonames"",""source_native_id"":""1018100"",""source_record_id"":""sr:geonames:1018100""},{""classification"":{""designation"":""PPL"",""feature_class"":""P"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1212587"",""uni"":""-1779680""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""nga_gns"",""source_native_id"":""-1212587:-1779680:106664"",""source_record_id"":""sr:nga_gns:-1212587:-1779680:106664""}],""source_record_ids"":[""sr:geonames:1018100"",""sr:nga_gns:-1212587:-1779680:106664""],""sources"":[""geonames"",""nga_gns""]}","[""CC_BY_4"",""NO_RESTRICTION_GNS""]",PERMISSIVE_OR_ATTRIBUTION_ONLY,False,True,"[""inside_admin_code_conflict""]","{""close_same_context"":false,""close_same_context_pairs"":[],""duplicate_name_action"":""preserve_separate"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-291cc8f92a238f80f336"",""pl-gp-v01-b3af21b267c8fc08148a""],""normalized_name_group_size"":2}",False,"[""point is inside Gauteng but source administrative coding conflicts and independent identity support is weak""]",True,point is inside Gauteng but source administrative coding conflicts and independent identity support is weak,"[""administrative_context""]",[],-25.540988,28.078557500000002,boundary_admin_identity
pl-gp-v01-2ccf257a9ea9ba452f24,Mimosa Park Inn,mimosa park inn,town,founder_review_required,requires_founder_review,"{""class"":""multi_source_contextual_match"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":true,""fuzzy_proposals_withheld"":0,""match_methods"":{""exact_contextual"":1},""match_statuses"":{""conflict"":1,""high_confidence"":1},""not_based_on_name_equality_alone"":true,""robust"":true,""very_strong"":false}","{""geonames_feature_classes"":{""P"":1},""geonames_feature_codes"":{""PPL"":1},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[],""osm_place_values"":[],""osm_residential_values"":[],""source_count"":2,""source_native_types"":[{""classification"":{""country_code"":""ZA"",""feature_class"":""P"",""feature_code"":""PPL"",""feature_description"":""populated place""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""geonames"",""source_native_id"":""975800"",""source_record_id"":""sr:geonames:975800""},{""classification"":{""designation"":""PPL"",""feature_class"":""P"",""language"":null,""name_rank"":""1"",""script"":null,""ufi"":""-1260701"",""uni"":""-1836421""},""proposed_type_hints"":[""locality"",""town"",""village""],""source"":""nga_gns"",""source_native_id"":""-1260701:-1836421:54123"",""source_record_id"":""sr:nga_gns:-1260701:-1836421:54123""}],""source_record_ids"":[""sr:geonames:975800"",""sr:nga_gns:-1260701:-1836421:54123""],""sources"":[""geonames"",""nga_gns""]}","[""CC_BY_4"",""NO_RESTRICTION_GNS""]",PERMISSIVE_OR_ATTRIBUTION_ONLY,False,True,"[""inside_admin_code_conflict""]","{""close_same_context"":false,""close_same_context_pairs"":[],""duplicate_name_action"":""not_applicable"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-2ccf257a9ea9ba452f24""],""normalized_name_group_size"":1}",False,"[""point is inside Gauteng but source administrative coding conflicts and independent identity support is weak""]",True,point is inside Gauteng but source administrative coding conflicts and independent identity support is weak,"[""administrative_context""]",[],-26.5584695,27.283748000000003,boundary_admin_identity
pl-gp-v01-2fad4c8097c15027f8ec,Midstream Estate,midstream estate,suburb,founder_review_required,requires_founder_review,"{""class"":""OSM_place_single_source"",""confidence"":""moderate"",""direct_cross_identifier"":false,""exact_contextual"":false,""fuzzy_proposals_withheld"":0,""match_methods"":{},""match_statuses"":{""ambiguous"":1},""not_based_on_name_equality_alone"":true,""robust"":false,""very_strong"":false}","{""geonames_feature_classes"":{},""geonames_feature_codes"":{},""osm_alias_tags"":{},""osm_identifier_tags"":{},""osm_landuse_values"":[""residential""],""osm_place_values"":[""suburb""],""osm_residential_values"":[],""source_count"":1,""source_native_types"":[{""classification"":{""admin_level"":null,""boundary"":null,""element_type"":""way"",""landuse"":""residential"",""place"":""suburb"",""residential"":null},""proposed_type_hints"":[""osm_place"",""suburb""],""source"":""osm"",""source_native_id"":""way/72865241"",""source_record_id"":""sr:osm:way/72865241""}],""source_record_ids"":[""sr:osm:way/72865241""],""sources"":[""osm""]}","[""ODBL_1""]",ODBL_ONLY,True,False,[],"{""close_same_context"":true,""close_same_context_pairs"":[{""candidate_location_id_a"":""pl-gp-v01-2fad4c8097c15027f8ec"",""candidate_location_id_b"":""pl-gp-v01-ebc58f0311d83f8648cb"",""distance_km"":0.13}],""duplicate_name_action"":""identity_collision_review"",""normalized_name_group_candidate_ids"":[""pl-gp-v01-2fad4c8097c15027f8ec"",""pl-gp-v01-ebc58f0311d83f8648cb""],""normalized_name_group_size"":2}",True,"[""same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved""]",True,same normalized name has source objects within 500 m in the same administrative context; identity collision must be resolved,"[""independent_identity_vs_duplicate_source_object""]",[],-25.91053145,28.194483635732382,ambiguous_identity_or_duplicate
