# Local-only branch-tip recovery index
# Captured 2026-08-31. These tips were absent from all current remote refs at recovery time.
# `integrated-ancestor-of-origin-main` means the exact tip is already reachable from the forward baseline.
source_branch	object_id	committed_on	reachability_at_capture	subject	archive_ref
aalc-s1-canonical-listing-publication-entitlement	b214ccd4744548c8b03502274c209a88d00ed054	2026-07-16	integrated-ancestor-of-origin-main	Merge remote-tracking branch 'origin/main' into aalc-s1-canonical-listing-publication-entitlement	refs/archive/repository-convergence-20260831/local-only-branch-tips/aalc-s1-canonical-listing-publication-entitlement
aalc-s3-principal-bootstrap-authority	3aa23c1a8c44443681a5492d40d439b8ca524372	2026-07-17	integrated-ancestor-of-origin-main	fix(agency): harden principal onboarding authority	refs/archive/repository-convergence-20260831/local-only-branch-tips/aalc-s3-principal-bootstrap-authority
archive/geography-territory-coverage-pipeline-20260831	28d1432ab22ada75cb008b6339aa34ad55b772da	2026-08-31	not-ancestor-of-origin-main	archive: preserve pre-main-cleanup worktree state	refs/archive/repository-convergence-20260831/local-only-branch-tips/archive/geography-territory-coverage-pipeline-20260831
audit/doe-s2-structured-updates-milestones	249633b00d59a42e2c7d33fad2a95d0dd6484b27	2026-07-20	integrated-ancestor-of-origin-main	Merge pull request #374 from Doscoding187/feat/developer-development-home-v1	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/doe-s2-structured-updates-milestones
audit/frontend-product-experience-v1	a9029123e9025c6ae85604d30e9b66ccecc14b79	2026-07-20	integrated-ancestor-of-origin-main	Merge pull request #375 from Doscoding187/test/saved-search-origin-isolation-followup	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/frontend-product-experience-v1
audit/mvp-readiness-2026-08-22	d9358f84509ed9d19e0a6960219274043774ee13	2026-08-22	not-ancestor-of-origin-main	docs(audit): property listify MVP readiness audit 2026-08-22 @ 8a3442a0	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/mvp-readiness-2026-08-22
audit/search-discovery-current-state	7acc6b9a6ee73db3aea5eee5673bd8f8664ecb93	2026-08-05	not-ancestor-of-origin-main	docs(search): add search discovery current-state audit	refs/archive/repository-convergence-20260831/local-only-branch-tips/audit/search-discovery-current-state
backup/doe-s0-before-rebase-3dc432a5	3dc432a5bb951a280a1e58774eeb80f8663cec4e	2026-07-16	not-ancestor-of-origin-main	feat(developer): align publication review lifecycle	refs/archive/repository-convergence-20260831/local-only-branch-tips/backup/doe-s0-before-rebase-3dc432a5
backup/saved-search-ci-local-e3977f73	e3977f7397f5fb8b361330af138085c25639573e	2026-07-17	not-ancestor-of-origin-main	test(saved-search): align CI fixtures with canonical config	refs/archive/repository-convergence-20260831/local-only-branch-tips/backup/saved-search-ci-local-e3977f73
boundary/product-surface-registry	14234c81c12fdea838dcc4f251ef4d1c3876ffaa	2026-08-26	not-ancestor-of-origin-main	feat(boundary): executable product surface registry + launch boundary enforcement	refs/archive/repository-convergence-20260831/local-only-branch-tips/boundary/product-surface-registry
codex/backup-commercial-search-filters-before-rebase	119186de01207296f04e109781a6283f80b15106	2026-08-27	not-ancestor-of-origin-main	feat(commercial): add business-value search filters	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/backup-commercial-search-filters-before-rebase
codex/development-card-data-guard	a72706e991567ddad9efc050b8f8749eb5bae4e1	2026-06-29	integrated-ancestor-of-origin-main	fix: normalize development card unit data	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/development-card-data-guard
codex/discovery-listing-optimization-plan	6b047c01b139d90443271f1886e32ce5aa8cd42d	2026-06-29	integrated-ancestor-of-origin-main	Merge pull request #320 from Doscoding187/codex/discovery-listing-render-audit	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/discovery-listing-optimization-plan
codex/discovery-listing-render-audit	65fc2a1e041736f737697ab0334c832132cf04d8	2026-06-29	integrated-ancestor-of-origin-main	fix: harden agents page render guards	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/discovery-listing-render-audit
codex/dynamic-city-dropdown-fallback	57a17774eb20c82293cfaceed7f685955a3306ff	2026-06-29	integrated-ancestor-of-origin-main	feat: wire city dropdown through location adapter	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/dynamic-city-dropdown-fallback
codex/dynamic-nav-first-slice	670ec4358ca7b957b27fa7d88d7a5174183e3e81	2026-06-29	integrated-ancestor-of-origin-main	feat: wire rent nav city links through adapter	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/dynamic-nav-first-slice
codex/enhanced-nav-link-seo-validation	cee6fb8c705bb124f9e858d0b8ad062489a0f3d2	2026-06-29	integrated-ancestor-of-origin-main	test: strengthen enhanced nav link seo guardrails	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/enhanced-nav-link-seo-validation
codex/enhanced-navigation-optimization	4f9f4df077bcecf0cf815c39a004d1d8d2456e8d	2026-06-27	integrated-ancestor-of-origin-main	feat: add explore mega menu to enhanced nav	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/enhanced-navigation-optimization
codex/enhanced-navigation-ui-redesign	5ae31c61bb7b528524e7ea143cdf0f6ff953c8e5	2026-06-29	integrated-ancestor-of-origin-main	style: redesign enhanced nav mega menus	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/enhanced-navigation-ui-redesign
codex/enhanced-navigation-ui-refinement	d591d17cb2b19be2c5c0ce7ae08808c52448a2c7	2026-06-27	integrated-ancestor-of-origin-main	style: refine enhanced nav mega menu UI	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/enhanced-navigation-ui-refinement
codex/homepage-autosuggest-foundation	bf35f1e5793aed7a7ef92008f8f330e46410f431	2026-06-29	integrated-ancestor-of-origin-main	feat: add homepage search discovery autosuggest foundation	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/homepage-autosuggest-foundation
codex/location-nav-data-adapter	d98d0cec6ecdd5cc6f6127a2de350c34059cc6c1	2026-06-29	integrated-ancestor-of-origin-main	feat: add location nav data adapter	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/location-nav-data-adapter
codex/location-page-hook-order-guard	dde86303217baab15bf83b5198ba6ddda87a4e38	2026-06-29	integrated-ancestor-of-origin-main	fix: stabilize location page hook order	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/location-page-hook-order-guard
codex/location-pages-data-guards	c01bc9818691a3c27793cca24ebc0f180bb75ca7	2026-06-29	integrated-ancestor-of-origin-main	fix: harden location page data guards	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/location-pages-data-guards
codex/nav-engine-boundary-audit	ed4e70e59c2dbd709fa076c86c2e2e8e6ff4beb5	2026-06-29	integrated-ancestor-of-origin-main	fix: keep explore nav within explore engine	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/nav-engine-boundary-audit
codex/navigation-cleanup-phase-2	1f34ef7a2de9ea66d46cd0ae26714300bd32e125	2026-06-22	integrated-ancestor-of-origin-main	Complete navigation cleanup phase 2	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/navigation-cleanup-phase-2
codex/navigation-cleanup-phase-2-pr	c32751da91024945c42013857b73307c3d759de4	2026-06-22	integrated-ancestor-of-origin-main	Reapply "Merge navigation cleanup phase 2"	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/navigation-cleanup-phase-2-pr
codex/navigation-post-merge-verification	0821617111ae5cbe478a31bf38dba1dd2c3cfb6d	2026-06-22	integrated-ancestor-of-origin-main	Merge pull request #312 from Doscoding187/codex/navigation-cleanup-phase-2-pr	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/navigation-post-merge-verification
codex/referrer-opportunity-preview-clean	cb3bd88abd94a8d8466ff4e660fd75bb2b3dabb4	2026-05-05	integrated-ancestor-of-origin-main	Refine referrer overview opportunity preview	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/referrer-opportunity-preview-clean
codex/referrer-overview-color-balance	5da5247671d375a0d029096c533e46ef197f0a0c	2026-05-05	integrated-ancestor-of-origin-main	Tune referrer overview color system	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/referrer-overview-color-balance
codex/referrer-overview-opportunity-preview	cb3bd88abd94a8d8466ff4e660fd75bb2b3dabb4	2026-05-05	integrated-ancestor-of-origin-main	Refine referrer overview opportunity preview	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/referrer-overview-opportunity-preview
codex/search-discovery-engine-audit	a6ba0b48a0c3c86e91f15362b0b78e1043bc1dc2	2026-06-29	integrated-ancestor-of-origin-main	docs: add search discovery engine architecture	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/search-discovery-engine-audit
codex/search-discovery-suggest-api-foundation	f221613a5be4aebadcab177c42c608fd3e9497bb	2026-06-29	integrated-ancestor-of-origin-main	Merge pull request #330 from Doscoding187/codex/homepage-autosuggest-foundation	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/search-discovery-suggest-api-foundation
codex/search-results-identity-guard	d7b72e08b8bfbf97c3c637cf3245eb9c2e5b6983	2026-06-29	integrated-ancestor-of-origin-main	fix: guard search result identity data	refs/archive/repository-convergence-20260831/local-only-branch-tips/codex/search-results-identity-guard
