file	component_or_surface	declaration	content_type	fixed_dimension	overflow_behaviour	text_resize_risk	reflow_risk	severity	classification	notes
client/src/index.css	Root document	html { font-size: clamp(14px, 0.9vw, 16px) }	All rem-dependent content	14-16px root bound	No overflow rule	High	Medium	High	TEXT_RESIZE_RISK; UNSAFE_GLOBAL_CHANGE	Root preference relationship is replaced; browser behaviour unverified.
client/src/components/ui/button.tsx	Button primitive	h-8/h-9/h-10 plus whitespace-nowrap	Button labels	2/2.25/2.5rem heights	No wrap by default	Medium	Medium	Medium	CONTENT_GROWTH_RISK; TEXT_RESIZE_RISK; UNSAFE_GLOBAL_CHANGE	Test every variant before global min-height conversion.
client/src/components/ui/input.tsx	Input primitive	h-9; text-base; md:text-sm	Typed/value text	2.25rem	Native input scroll	Medium	Low	Medium	TEXT_RESIZE_RISK	Desktop text becomes smaller at md.
client/src/components/ui/tabs.tsx	Tabs primitive	h-10; TabsTrigger whitespace-nowrap	Tab labels	2.5rem list height	No wrap in trigger	Medium	High	Medium	CONTENT_GROWTH_RISK; TEXT_RESIZE_RISK	Long/localised labels can exceed width.
client/src/components/ui/table.tsx	Table primitive	TableHead/TableCell whitespace-nowrap	Dense tabular data	Rows content-driven; header h-10	Container overflow-x-auto	Low	Low	Low	DELIBERATE_EXCEPTION	Horizontal scroll preserves meaningful two-dimensional layout.
client/src/components/ui/drawer.tsx	Drawer primitive	max-h-[80vh]	Drawer content	80vh maximum	Caller controls inner scroll	Medium	Low	Medium	MOBILE_VIEWPORT_RISK; REQUIRES_VISUAL_VERIFICATION	Cap is safer than fixed height but needs mobile testing.
client/src/components/ui/dialog.tsx	Dialog primitive	max-w-[calc(100%-2rem)] sm:max-w-lg	Dialog content	Viewport inset and desktop cap	Caller commonly adds overflow-y-auto	Low	Low	Low	APPROPRIATE_EXISTING_USE	Flexible width relation.
client/src/components/EnhancedNavbar.tsx	Desktop account/CTA links	h-9; gap-2; text-sm	Navigation labels/account name	2.25rem height	No wrap in inline flex	Medium	Medium	Medium	CONTENT_GROWTH_RISK	Account label is user-derived; test long names/localisation.
client/src/components/EnhancedNavbar.tsx	Mobile menu	max-h-[calc(100vh-4rem)] overflow-y-auto	Navigation labels	Viewport minus sticky bar	Vertical scroll enabled	Medium	Low	Medium	MOBILE_VIEWPORT_RISK	Correct escape, but legacy viewport calculation.
client/src/components/EnhancedNavbar.tsx	Mega menu side rail	w-48 shrink-0	Marketing menu copy	12rem fixed width	Text wraps	Low	Low	Low	COMPONENT_TOKEN_CANDIDATE	Intentional supporting rail.
client/src/components/SimplePropertyListingCard.tsx	Property card title	line-clamp-2	Property title	Two lines	Content hidden after two lines	High	Low	Medium	CONTENT_GROWTH_RISK; TEXT_RESIZE_RISK	Intentional truncation loses long/localized titles.
client/src/components/SimplePropertyListingCard.tsx	Property badges	text-[10px]/[11px]	Badges/metadata	10/11px	Wrap depends on badge width	Medium	Medium	Medium	ARBITRARY_VALUE; TEXT_RESIZE_RISK	Repeated small labels are candidates, not automatic tokens.
