file	component_or_surface	mechanism	condition	decision_basis	viewport_or_container	purpose	duplicate_authority	classification	notes
client/src/index.css	Global Sonner toaster	Raw media query	max-width: 600px	Viewport width	Viewport	Keep touch toasts inside viewport	Yes: differs from Tailwind screens	APPROPRIATE_EXISTING_USE; RESPONSIVE_COUPLING	Narrow component-specific guard.
client/src/index.css	.container	Raw media query	min-width: 640px and 1024px	Viewport width	Viewport	Increase page gutter and cap container	Yes: Tailwind defaults overlap	CANONICAL_CANDIDATE; RESPONSIVE_COUPLING	Raw breakpoint implementation parallel to Tailwind utilities.
client/src/index.css	.content-rail	Raw media query	min-width: 1024px and 1280px	Viewport width	Viewport	Desktop gutters and rail cap	Yes: PageFrame uses lg utility	SEMANTIC_TOKEN_CANDIDATE; RESPONSIVE_COUPLING	Rail variables are active shared authority.
client/tailwind.config.js	All Tailwind responsive utilities	Tailwind v4 variants	No local screen override	Viewport width	Viewport	Page/grid/visibility changes	Yes: raw CSS and JS hooks	CANONICAL_CANDIDATE; RESPONSIVE_COUPLING	Default screen semantics are implicit build-tool authority.
client/src/components/ui/page-frame.tsx	PageHeader/PageActions	Tailwind variants	sm:flex-row; sm:w-auto	Viewport width	Viewport	Stack actions on narrow screens	Yes: possible container candidate	APPROPRIATE_EXISTING_USE; RESPONSIVE_COUPLING	Fine as page primitive; inspect embedding before changing.
client/src/components/EnhancedNavbar.tsx	EnhancedNavbar	Tailwind variants	lg:flex; lg:hidden	Viewport width	Viewport	Switch desktop mega navigation to mobile menu	Yes: JS hooks use 767/768	APPROPRIATE_EXISTING_USE; RESPONSIVE_COUPLING	Global navigation should remain viewport-led.
client/src/components/EnhancedNavbar.tsx	Mobile navigation	Viewport-height calculation	max-h: calc(100vh - 4rem)	Viewport height	Viewport	Keep menu below sticky bar	No direct duplicate	MOBILE_VIEWPORT_RISK	Uses legacy vh.
client/src/hooks/useMobile.tsx	Shared useIsMobile hook	matchMedia and innerWidth	max-width: 767px / width < 768	Viewport width	Viewport	JS mobile behaviour	Yes: CSS and useMediaQuery differ	RESPONSIVE_COUPLING	One of several mobile thresholds.
client/src/hooks/useMediaQuery.ts	Shared media query hooks	matchMedia	<=768; 769-1024; >=1025	Viewport width	Viewport	JS mobile/tablet/desktop rendering	Yes: useMobile and raw CSS	RESPONSIVE_COUPLING	Boundary conflicts with 767px hook.
client/src/components/ui/sidebar.tsx	Sidebar primitive	useIsMobile	Shared 768px hook	Viewport width	Viewport	Choose sheet versus desktop sidebar	Yes: Tailwind classes also present	RESPONSIVE_COUPLING	Behaviour and presentation can disagree at boundary.
client/src/components/property/PropertyQualificationDrawer.tsx	Property qualification	matchMedia	max-width: 767px	Viewport width	Viewport	Choose mobile drawer rendering	Yes: shared hooks differ	RESPONSIVE_COUPLING	Component-local duplicate threshold.
client/src/components/property-results/ResponsiveFilterPanel.tsx	Results filters	window resize	width < supplied breakpoint	Viewport width	Viewport	Choose bottom sheet versus desktop panel	Yes: Explore panel uses hook	RESPONSIVE_COUPLING	Potentially justified behaviour split.
client/src/components/explore-discovery/ResponsiveFilterPanel.tsx	Explore filters	useIsMobile	Shared 768px hook	Viewport width	Viewport	Choose mobile filter surface	Yes: results panel	RESPONSIVE_COUPLING	Two filter implementations.
client/src/pages/admin/SuperAdminDashboard.tsx	Admin shell	window resize	innerWidth < 768	Viewport width	Viewport	Choose overlay versus static sidebar	Yes: separate shared-hook implementation	RESPONSIVE_COUPLING	Not a component-width decision.
client/src/components/ui/field.tsx	FieldGroup/Field	Named container query	@container/field-group and @md/field-group	Parent inline size	Container	Stack versus row field orientation	No competing container authority	APPROPRIATE_EXISTING_USE; CANONICAL_CANDIDATE	Correct reusable component relationship.
client/src/styles/advertise-responsive.css	Advertise pages	Raw media queries	<640; <768; 768-1023; >=1024	Viewport width	Viewport	Hero/media/grid/layout changes	Yes: Tailwind route classes	RESPONSIVE_COUPLING	Separate route-local breakpoint system.
client/src/components/location/HeroBillboardAd.css	Hero billboard	Raw media queries	<=768; 769-1024	Viewport width	Viewport	Swap ad height	Yes: Tailwind 768/1024 semantics	RESPONSIVE_COUPLING	Adjacent boundary differs from advertise stylesheet.
client/src/styles/reduced-motion.css	Global motion	Media query	prefers-reduced-motion: reduce	User preference	Capability	Reduce motion	No	APPROPRIATE_EXISTING_USE	Not a layout breakpoint.
client/src/styles/accessibility.css	Accessibility rules	Media queries	contrast, forced-colors, pointer:coarse	User capability	Capability	Adapt interaction/accessibility	No	APPROPRIATE_EXISTING_USE	Keep distinct from width policy.
client/src/domains/discovery/screens/DiscoveryFeedScreen.tsx	Explore feed	Tailwind variants and h-screen	md padding; viewport height	Viewport width and height	Viewport	Immersive snap experience	No	DELIBERATE_EXCEPTION; MOBILE_VIEWPORT_RISK	Not a generic card responsiveness candidate.
client/src/features/agency/*	Agency workspaces	Tailwind variants	Frequent sm/md/lg/xl grids	Viewport width	Viewport	Dense operational layouts	Yes: local fixed tracks	RESPONSIVE_COUPLING; REQUIRES_VISUAL_VERIFICATION	Must preserve data-density profile.
