file	line_or_range	component_or_surface	property_or_utility	declared_value	unit_or_function	usage_context	source_authority	classification	risk	notes
client/src/index.css	27-30	Global Sonner toaster	width and max-width	min(356px, calc(100vw - 2rem))	min(); calc(); px; vw; rem	Touch-device toast viewport inset	Active global runtime CSS	APPROPRIATE_EXISTING_USE; COMPONENT_TOKEN_CANDIDATE	Low	Controlled overlay width prevents document widening.
client/src/index.css	35-38	Global radius aliases	custom properties	calc(var(--radius) +/- 2px or 4px)	calc(); px	Derived visual radii	Active global runtime CSS	APPROPRIATE_EXISTING_USE	Low	Pixel deltas are visual-detail relationships.
client/src/index.css	133	Global radius	--radius	0.65rem	rem	Shared surface radius	Active global runtime CSS	CANONICAL_CANDIDATE	Low	Consumed through Tailwind inline theme aliases.
client/src/index.css	164-168	Global fluid spacing	--space-xs through --space-xl	clamp(0.25rem, 0.5vw, 0.5rem) through clamp(1.5rem, 2.5vw, 2rem)	clamp(); rem; vw	Shared page and primitive spacing	Active global runtime CSS	SEMANTIC_TOKEN_CANDIDATE; REQUIRES_VISUAL_VERIFICATION	Medium	Bounded but viewport-driven.
client/src/index.css	171-172	Card spacing	--card-padding and --card-gap	clamp(0.75rem, 1.2vw, 1.1rem); clamp(0.5rem, 0.8vw, 0.75rem)	clamp(); rem; vw	Card-local spacing	Active global runtime CSS	COMPONENT_TOKEN_CANDIDATE	Low	Already scoped as card-specific.
client/src/index.css	177-179	Carousel card widths	--card-width-sm/md/lg	clamp(240px, 70vw, 280px); clamp(260px, 45vw, 320px); 300px	clamp(); px; vw	Horizontal carousel card geometry	Active global runtime CSS	COMPONENT_TOKEN_CANDIDATE; DELIBERATE_EXCEPTION	Medium	Intentional carousel visibility, not a general card rule.
client/src/index.css	182-184	Content rails	--content-rail-width and paddings	1240px; 0.875rem; 2rem	px; rem	Page composition	Active global runtime CSS	SEMANTIC_TOKEN_CANDIDATE	Low	Consumed by PageFrame/content-rail.
client/src/index.css	231	Root font size	html font-size	clamp(14px, 0.9vw, 16px)	clamp(); px; vw	Root sizing	Active global runtime CSS	LEGACY_AUTHORITY; TEXT_RESIZE_RISK; UNSAFE_GLOBAL_CHANGE	High	Overrides browser-default root relationship; changing it globally changes all rem utilities.
client/src/index.css	246-267	Body and headings	font-size and line-height	clamp(0.9rem, 0.95vw, 1rem); clamp(...); 1.55/1.2-1.4	clamp(); rem; vw; unitless	Global type scaling	Active global runtime CSS	CANONICAL_CANDIDATE; REQUIRES_VISUAL_VERIFICATION	Medium	Unitless line-height is appropriate; viewport type needs testing.
client/src/index.css	293-339	Container and content rail	width/padding/max-width	100%; var(--space-*); 1280px; var(--content-rail-width)	%; px; custom properties	Page-level composition	Active global runtime CSS	SEMANTIC_TOKEN_CANDIDATE	Low	Raw and Tailwind breakpoint authorities participate.
